Unnamed: 0,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,Year
67950,20,209,21,"1210 N. 10TH ST.,JFK RECREATION CENTER",Kansas,Wyandotte,Kansas City,2012-12-31,Parts per billion,12.5125,25.0,7,24,Parts per million,0.016842,0.024,18,20,Parts per billion,0.929167,1.6,1,1.0,Parts per million,0.545833,0.6,5,,2012
49887,11,1,43,"2500 1ST STREET, N.W. WASHINGTON DC",District Of Columbia,District of Columbia,Washington,2015-09-17,Parts per billion,24.266667,52.7,8,49,Parts per million,0.046542,0.075,10,115,Parts per billion,1.354167,2.4,7,3.0,Parts per million,0.3375,0.5,8,6.0,2015
85377,48,201,1035,9525 1/2 Clinton Dr,Texas,Harris,Houston,2000-02-18,Parts per billion,32.166667,58.0,18,55,Parts per million,0.01275,0.028,22,24,Parts per billion,25.7625,56.0,2,,Parts per million,0.15,0.2,8,2.0,2000
44089,18,97,73,"NAVAL AVIONICS CENTER, 6125 E. 16TH ST.",Indiana,Marion,Indianapolis (Remainder),2004-04-25,Parts per billion,6.125,12.0,2,11,Parts per million,0.035917,0.044,11,37,Parts per billion,4.675,9.6,2,,Parts per million,0.341667,0.5,1,,2004
78302,37,119,41,1130 EASTWAY DRIVE,North Carolina,Mecklenburg,Charlotte,2007-02-01,Parts per billion,14.125,21.0,20,20,Parts per million,0.013958,0.023,0,19,Parts per billion,2.475,5.2,20,,Parts per million,0.289708,0.38,10,,2007
5310,5,119,7,PIKE AVE AT RIVER ROAD,Arkansas,Pulaski,North Little Rock,2013-03-20,Parts per billion,4.583333,11.1,1,10,Parts per million,0.038667,0.047,10,44,Parts per billion,0.979167,1.6,4,1.0,Parts per million,0.26775,0.322,20,,2013
79568,42,91,13,STATE ARMORY - 1046 BELVOIR RD,Pennsylvania,Montgomery,Norristown,2001-10-15,Parts per billion,11.791667,31.0,19,29,Parts per million,0.016458,0.033,9,28,Parts per billion,4.3875,6.6,20,,Parts per million,0.1125,0.5,22,6.0,2001
112546,56,41,101,Murphy Ridge LOCATED NEAR WYOMING UTAH BORDER,Wyoming,Uinta,Not in a city,2007-03-15,Parts per billion,0.0,0.0,0,0,Parts per million,0.043958,0.048,8,41,Parts per billion,0.0,0.0,0,0.0,Parts per million,0.1375,0.2,10,,2007
5168,5,119,7,PIKE AVE AT RIVER ROAD,Arkansas,Pulaski,North Little Rock,2011-04-11,Parts per billion,5.708333,26.3,23,25,Parts per million,0.035125,0.048,12,41,Parts per billion,1.704167,3.4,4,4.0,Parts per million,0.289304,0.501,9,,2011
46354,17,163,10,13TH & TUDOR,Illinois,Saint Clair,East Saint Louis,2005-01-25,Parts per billion,22.208333,36.0,19,34,Parts per million,0.008875,0.017,9,14,Parts per billion,27.708333,90.0,22,107.0,Parts per million,0.804167,1.5,19,,2005
104799,42,17,12,ROCKVIEW LANE,Pennsylvania,Bucks,Bristol,2013-07-26,Parts per billion,5.375,26.0,21,25,Parts per million,0.026458,0.049,11,45,Parts per billion,4.6375,5.3,17,,Parts per million,0.020833,0.1,19,1.0,2013
41652,6,83,4003,"STS POWER PLANT, VANDENBERG AFB",California,Santa Barbara,Vandenberg Air Force Base,2011-06-02,Parts per billion,0.478261,1.0,2,1,Parts per million,0.039333,0.043,13,36,Parts per billion,0.043478,1.0,2,1.0,Parts per million,0.204348,0.3,2,,2011
46991,17,163,10,13TH & TUDOR,Illinois,Saint Clair,East Saint Louis,2001-03-30,Parts per billion,22.291667,36.0,19,34,Parts per million,0.012125,0.027,10,23,Parts per billion,6.8125,13.3,23,,Parts per million,0.6,0.9,20,,2001
28427,6,65,8001,"5888 MISSION BLVD., RUBIDOUX",California,Riverside,Rubidoux,2011-03-27,Parts per billion,4.513636,8.6,22,8,Parts per million,0.034792,0.045,10,38,Parts per billion,1.0,1.0,0,1.0,Parts per million,0.2,0.2,0,2.0,2011
119445,48,309,1037,4472 Mazanec Rd,Texas,McLennan,Waco,2012-10-29,Parts per billion,7.695833,19.4,4,18,Parts per million,0.024667,0.042,10,36,Parts per billion,0.85,2.2,17,,Parts per million,0.1,0.1,0,1.0,2012
48035,8,1,3001,3174 E. 78TH AVE.,Colorado,Adams,Welby,2011-12-17,Parts per billion,42.826087,59.0,9,56,Parts per million,0.004208,0.012,9,10,Parts per billion,2.083333,5.0,14,7.0,Parts per million,0.8,1.2,23,14.0,2011
3285,4,13,9997,4530 N 17TH AVENUE,Arizona,Maricopa,Phoenix,2010-11-14,Parts per billion,21.208333,35.0,19,33,Parts per million,0.014875,0.036,9,31,Parts per billion,0.525,1.0,2,,Parts per million,0.675,1.1,1,13.0,2010
80288,42,101,4,1501 E. LYCOMING AVE.,Pennsylvania,Philadelphia,Philadelphia,2006-11-12,Parts per billion,15.583333,33.0,1,31,Parts per million,0.012958,0.016,6,14,Parts per billion,1.347826,4.0,11,6.0,Parts per million,0.4875,0.6,1,7.0,2006
48804,20,209,21,"1210 N. 10TH ST.,JFK RECREATION CENTER",Kansas,Wyandotte,Kansas City,2003-06-03,Parts per billion,13.625,42.0,22,40,Parts per million,0.035042,0.052,10,44,Parts per billion,2.25,6.6,17,,Parts per million,0.066667,0.6,23,,2003
71989,22,33,9,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,2013-07-06,Parts per billion,5.320833,12.6,21,11,Parts per million,0.018625,0.027,9,25,Parts per billion,0.283333,0.4,8,0.0,Parts per million,0.129167,0.2,0,2.0,2013
42268,8,31,2,2105 BROADWAY,Colorado,Denver,Denver,2006-08-13,Parts per billion,19.428571,43.0,0,41,Parts per million,0.037708,0.058,11,49,Parts per billion,3.26087,18.0,9,26.0,Parts per million,0.479167,0.6,16,7.0,2006
78362,25,25,42,HARRISON AVE,Massachusetts,Suffolk,Boston,2013-08-26,Parts per billion,17.176471,26.0,6,25,Parts per million,0.031583,0.042,10,36,Parts per billion,0.857143,1.1,14,,Parts per million,0.276455,0.49,9,,2013
104490,42,101,4,1501 E. LYCOMING AVE.,Pennsylvania,Philadelphia,Philadelphia,2012-08-27,Parts per billion,11.256522,19.5,10,18,Parts per million,0.010958,0.015,11,13,Parts per billion,1.922727,2.8,14,3.0,Parts per million,0.090909,0.2,14,,2012
63217,36,103,9,57 DIVISION STREET,New York,Suffolk,Holtsville,2005-10-28,Parts per billion,19.173913,30.0,6,28,Parts per million,0.021417,0.034,8,29,Parts per billion,8.071429,15.3,2,,Parts per million,0.143478,0.3,6,,2005
9301,6,13,3001,"583 W. 10TH ST., PITTSBURG",California,Contra Costa,Pittsburg,2004-12-18,Parts per billion,12.565217,22.0,0,21,Parts per million,0.001458,0.004,8,3,Parts per billion,1.171429,1.6,2,,Parts per million,0.916667,1.8,0,20.0,2004
11289,6,13,3001,"583 W. 10TH ST., PITTSBURG",California,Contra Costa,Pittsburg,2005-10-14,Parts per billion,19.782609,45.0,0,42,Parts per million,0.028,0.039,9,33,Parts per billion,2.885714,8.3,11,,Parts per million,0.545833,0.8,1,9.0,2005
52337,25,25,42,HARRISON AVE,Massachusetts,Suffolk,Boston,2003-03-21,Parts per billion,28.380952,45.0,0,42,Parts per million,0.013625,0.027,2,23,Parts per billion,2.866667,4.3,23,,Parts per million,0.5625,0.8,23,9.0,2003
3612,4,19,1028,400 W RIVER ROAD,Arizona,Pima,Tucson,2012-11-24,Parts per billion,11.316667,30.0,20,28,Parts per million,0.0215,0.038,10,32,Parts per billion,0.2125,0.3,23,,Parts per million,0.183333,0.5,21,,2012
40270,6,83,4003,"STS POWER PLANT, VANDENBERG AFB",California,Santa Barbara,Vandenberg Air Force Base,2010-07-20,Parts per billion,0.0,0.0,0,0,Parts per million,0.029625,0.031,10,26,Parts per billion,0.0,0.0,5,,Parts per million,0.0,0.0,0,,2010
79719,32,31,16,"301 A STATE STREET, RENO, NV 89502",Nevada,Washoe,Reno,2011-11-11,Parts per billion,26.841667,41.4,8,39,Parts per million,0.015417,0.025,22,21,Parts per billion,0.833333,2.6,5,3.0,Parts per million,0.466667,0.7,10,8.0,2011
88373,42,13,801,2ND AVE & 7TH ST,Pennsylvania,Blair,Altoona,2008-04-04,Parts per billion,15.041667,23.0,6,22,Parts per million,0.02025,0.033,0,28,Parts per billion,0.45,2.3,23,,Parts per million,0.25,0.4,4,,2008
97949,42,101,4,1501 E. LYCOMING AVE.,Pennsylvania,Philadelphia,Philadelphia,2008-06-08,Parts per billion,14.541667,32.4,20,30,Parts per million,0.026792,0.034,11,29,Parts per billion,6.934783,17.8,20,24.0,Parts per million,0.382609,0.6,0,,2008
15262,6,23,1004,717 SOUTH AVENUE,California,Humboldt,Eureka,2008-01-02,Parts per billion,10.238095,21.0,10,20,Parts per million,0.02125,0.038,23,32,Parts per billion,1.0,1.0,0,1.0,Parts per million,0.961905,1.6,10,,2008
25859,6,65,8001,"5888 MISSION BLVD., RUBIDOUX",California,Riverside,Rubidoux,2008-05-31,Parts per billion,13.0,31.0,1,29,Parts per million,0.0385,0.067,10,74,Parts per billion,1.0,1.0,2,,Parts per million,0.3125,0.4,3,5.0,2008
73033,42,43,401,"651 Gibson Blvd., Harrisburg, PA 17104",Pennsylvania,Dauphin,Not in a city,2006-07-07,Parts per billion,9.0,22.0,21,21,Parts per million,0.018583,0.037,9,31,Parts per billion,6.8,11.0,11,,Parts per million,0.016667,0.2,22,,2006
107916,48,141,37,250 Rim Rd,Texas,El Paso,El Paso,2008-06-12,Parts per billion,13.125,38.0,21,36,Parts per million,0.028375,0.04,9,34,Parts per billion,0.4,2.0,23,,Parts per million,0.108333,0.2,22,2.0,2008
94222,42,73,15,CROTON ST & JEFFERSON ST.,Pennsylvania,Lawrence,New Castle,2008-05-28,Parts per billion,6.75,13.0,22,12,Parts per million,0.029833,0.046,12,39,Parts per billion,3.2375,4.3,23,,Parts per million,0.208333,0.3,22,3.0,2008
2782,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2014-08-04,Parts per billion,12.333333,27.0,3,25,Parts per million,0.035708,0.057,10,58,Parts per billion,1.958333,2.0,1,3.0,Parts per million,0.283333,0.5,6,,2014
25109,6,67,6,"DEL PASO-2701 AVALON DR, SACRAMENTO",California,Sacramento,Arden-Arcade,2009-01-11,Parts per billion,17.73913,31.0,18,29,Parts per million,0.0055,0.014,9,12,Parts per billion,1.128571,2.0,2,,Parts per million,1.1625,2.1,2,24.0,2009
65796,40,71,9003,"RT 1, BOX 1980  PONCA CITY, OK  74601",Oklahoma,Kay,Ponca City,2003-04-13,Parts per billion,6.958333,20.0,0,19,Parts per million,0.047667,0.054,10,46,Parts per billion,0.041667,1.0,3,1.0,Parts per million,0.104167,0.3,0,,2003
35424,6,71,2002,"14360 ARROW BLVD., FONTANA",California,San Bernardino,Fontana,2011-07-08,Parts per billion,23.277273,37.1,7,35,Parts per million,0.02975,0.071,10,87,Parts per billion,0.528571,1.0,8,,Parts per million,0.259091,0.4,5,,2011
